adaptation_rate,choke_prob,cover_prob,max_ticks,n_agents,objective_controller,objective_progress,objective_radius,seed,stochasticity,ticks,wall_prob,weapon_cooldown_ticks
0.19947317935990905,0.014778176659410391,0.17077485863761477,200,30,0.0,0.0,7,1124,0.41623186933913886,200.0,0.11202327140660705,3
0.16084382096560246,0.003325599213208626,0.13889001735156933,200,30,0.0,0.0,12,1121,0.43832557370031033,200.0,0.2044500763607928,1
0.10079636819045752,0.043841452381877984,0.039005934652015205,200,30,0.0,0.37999999999999945,7,1122,0.44046964192347393,200.0,0.050198657569327995,1
0.1294111442029597,0.013214457463232108,0.027028243007218206,200,30,1.0,0.0,6,1128,0.26038551116059194,200.0,0.10200895434487955,1
0.07456027110522101,0.07503249234518043,0.1672507874154317,200,30,0.0,0.0,10,1127,0.41484309235156697,200.0,0.24249774570004762,2
0.046426047139512705,0.07132120717907246,0.04243993113827385,200,30,0.0,0.26,8,1131,0.4716908906112268,200.0,0.07557538907012551,3
0.14610446947915628,0.05857419262834266,0.188078542284697,200,30,1.0,0.98,7,1129,0.2884132065555352,200.0,0.18158833317710465,2
0.10647646228573532,0.08283202468034176,0.18742171019403325,200,30,0.0,1.0,7,1130,0.3693508910611126,200.0,0.05770533088793316,2
0.040921283627411834,0.053436464545452124,0.18864230081594127,200,30,1.0,0.5999999999999996,8,1133,0.4026724252950768,200.0,0.033163472274598,2
0.04328775492127515,0.05200086973680364,0.13164200326495187,200,30,0.0,0.0,5,1132,0.1075781285896039,200.0,0.05743292308305894,2
0.010145775042181312,0.029287773543407437,0.07077625937314802,200,30,1.0,0.5999999999999996,4,1134,0.29374039515939276,200.0,0.009754032309876445,2
0.022141592007690003,0.036528826933018475,0.0783837702037783,200,30,1.0,1.0,3,1137,0.40760928874738933,200.0,0.11758244099920358,1
0.04193661372153574,0.08773322631903756,0.14657646600327986,200,30,1.0,0.6999999999999997,11,1135,0.27256556845635765,200.0,0.18828195520272348,1
8.329648348915173e-05,0.07763274929072835,0.13724424202729768,200,30,0.0,0.0,12,1136,0.17679141767437148,200.0,0.19973006498419993,2
0.17523752928759612,0.06835375116362959,0.1213311323749599,200,30,0.0,0.2799999999999997,8,1138,0.31706786695089645,200.0,0.12627898782630861,2
0.09013885960108058,0.08531706830911884,0.05965899918803439,200,30,1.0,0.0,9,1139,0.3059752230362246,200.0,0.20069521009219143,2
